,7 Low_beta,7 High_beta,7 Alpha,7 Theta,7 Gamma,8 Low_beta,8 High_beta,8 Alpha,8 Theta,8 Gamma,9 Low_beta,9 High_beta,9 Alpha,9 Theta,9 Gamma,10 Low_beta,10 High_beta,10 Alpha,10 Theta,10 Gamma,11 Low_beta,11 High_beta,11 Alpha,11 Theta,11 Gamma,12 Low_beta,12 High_beta,12 Alpha,12 Theta,12 Gamma,Label
138,0.292758607012,0.221189219909,0.65241704055,0.825197832431,0.131407758701,0.264727017284,0.135986121169,0.656165853508,0.529574910378,0.0779829804317,0.191530076121,0.0649230539424,0.319999965909,0.371978166776,0.06328769465,0.502149416423,0.395105374449,0.870986544413,0.984191407801,0.153264597463,0.355834888235,0.216512277974,0.439421856347,0.710085505304,0.114956882927,0.372452996198,0.519838961057,0.744616529803,1.20152947546,0.523430830147,1
139,0.253392504268,0.27060771212,0.628204022139,0.924184379338,0.117292289871,0.197971144798,0.174915509903,0.768681634369,0.657517244179,0.0839345679,0.378285951055,0.0680657342603,0.323048253709,0.590157419894,0.0660598217709,0.414256237344,0.393526338982,1.28030450904,1.21395566298,0.155683323864,0.283624790643,0.262580788488,0.546859161164,0.776370807097,0.0984630731581,0.330094796982,0.658997229862,0.614011195886,0.910643551958,0.337564976529,1
140,0.248099396123,0.191859452836,0.173044057035,0.829087532141,0.100827389097,0.287378279745,0.14385470325,0.42953813904,0.589059021979,0.0710334263814,0.257188439002,0.0760958725174,0.154923798114,0.479054391727,0.0640227378886,0.416631361775,0.323945857388,0.704323714093,0.786426130299,0.113168297645,0.233790186993,0.216649997685,0.175163284897,0.408865745858,0.071422863668,0.187318015447,0.702361931062,0.187132348724,0.590548838635,0.296387272556,1
141,0.248099396123,0.191859452836,0.173044057035,0.829087532141,0.100827389097,0.287378279745,0.14385470325,0.42953813904,0.589059021979,0.0710334263814,0.257188439002,0.0760958725174,0.154923798114,0.479054391727,0.0640227378886,0.416631361775,0.323945857388,0.704323714093,0.786426130299,0.113168297645,0.233790186993,0.216649997685,0.175163284897,0.408865745858,0.071422863668,0.187318015447,0.702361931062,0.187132348724,0.590548838635,0.296387272556,1
142,0.300749061043,0.186349780723,0.56006175504,0.349902645937,0.102774725813,0.420068471296,0.181375396651,0.913596728873,0.961056073362,0.0728112270487,0.15760071393,0.148443592017,0.323432917003,0.31876679363,0.0657746801654,0.56321709268,0.362112058695,1.08186730408,1.49427380755,0.152621507119,0.402621842037,0.158498163544,0.68552620771,0.773661345403,0.0730480547344,0.514354430099,0.6340897785,0.733737051617,1.50346741422,0.456110373714,1
143,0.300749061043,0.186349780723,0.56006175504,0.349902645937,0.102774725813,0.420068471296,0.181375396651,0.913596728873,0.961056073362,0.0728112270487,0.15760071393,0.148443592017,0.323432917003,0.31876679363,0.0657746801654,0.56321709268,0.362112058695,1.08186730408,1.49427380755,0.152621507119,0.402621842037,0.158498163544,0.68552620771,0.773661345403,0.0730480547344,0.514354430099,0.6340897785,0.733737051617,1.50346741422,0.456110373714,1
144,0.300749061043,0.186349780723,0.56006175504,0.349902645937,0.102774725813,0.420068471296,0.181375396651,0.913596728873,0.961056073362,0.0728112270487,0.15760071393,0.148443592017,0.323432917003,0.31876679363,0.0657746801654,0.56321709268,0.362112058695,1.08186730408,1.49427380755,0.152621507119,0.402621842037,0.158498163544,0.68552620771,0.773661345403,0.0730480547344,0.514354430099,0.6340897785,0.733737051617,1.50346741422,0.456110373714,1
145,0.300749061043,0.186349780723,0.56006175504,0.349902645937,0.102774725813,0.420068471296,0.181375396651,0.913596728873,0.961056073362,0.0728112270487,0.15760071393,0.148443592017,0.323432917003,0.31876679363,0.0657746801654,0.56321709268,0.362112058695,1.08186730408,1.49427380755,0.152621507119,0.402621842037,0.158498163544,0.68552620771,0.773661345403,0.0730480547344,0.514354430099,0.6340897785,0.733737051617,1.50346741422,0.456110373714,1
146,0.364615038858,0.219618740992,0.929793383896,0.184992751933,0.115477874946,0.224731525679,0.134777867663,0.945085574766,1.34456838353,0.0901711784174,0.0874038874215,0.145659540159,0.309198049296,0.423637801417,0.0555350910917,0.589767876619,0.496829019171,1.59884679281,2.05644057988,0.187785623082,0.450027926879,0.236827049954,1.26814809073,1.2327039685,0.0932100400541,0.775681540937,0.816225066169,1.62713770499,2.53359949023,0.368291797617,1
147,0.364615038858,0.219618740992,0.929793383896,0.184992751933,0.115477874946,0.224731525679,0.134777867663,0.945085574766,1.34456838353,0.0901711784174,0.0874038874215,0.145659540159,0.309198049296,0.423637801417,0.0555350910917,0.589767876619,0.496829019171,1.59884679281,2.05644057988,0.187785623082,0.450027926879,0.236827049954,1.26814809073,1.2327039685,0.0932100400541,0.775681540937,0.816225066169,1.62713770499,2.53359949023,0.368291797617,1
148,0.364615038858,0.219618740992,0.929793383896,0.184992751933,0.115477874946,0.224731525679,0.134777867663,0.945085574766,1.34456838353,0.0901711784174,0.0874038874215,0.145659540159,0.309198049296,0.423637801417,0.0555350910917,0.589767876619,0.496829019171,1.59884679281,2.05644057988,0.187785623082,0.450027926879,0.236827049954,1.26814809073,1.2327039685,0.0932100400541,0.775681540937,0.816225066169,1.62713770499,2.53359949023,0.368291797617,1
149,0.364615038858,0.219618740992,0.929793383896,0.184992751933,0.115477874946,0.224731525679,0.134777867663,0.945085574766,1.34456838353,0.0901711784174,0.0874038874215,0.145659540159,0.309198049296,0.423637801417,0.0555350910917,0.589767876619,0.496829019171,1.59884679281,2.05644057988,0.187785623082,0.450027926879,0.236827049954,1.26814809073,1.2327039685,0.0932100400541,0.775681540937,0.816225066169,1.62713770499,2.53359949023,0.368291797617,1
150,0.55706788574,0.253019303106,0.507244586128,0.240808491388,0.10046718838,0.421037238828,0.14599940381,0.584347234556,0.616316643409,0.104220654586,0.127810719088,0.118885818349,0.204166922536,0.269819088862,0.0495901377232,0.87899525899,0.516158248391,1.11396780191,1.10024736153,0.153344973564,0.431181130522,0.307925886509,0.778181071194,0.647749441604,0.0885845653697,0.693130191077,0.615180432162,1.1655993744,0.962814719053,0.260458855041,1
